,InvoiceDate2,M_NetFare2
282,2/7/2019,17981.25729
283,2/8/2019,14633.14136
284,2/9/2019,41788.34286
285,2/10/2019,18823.05
286,2/11/2019,13390.03963
287,2/12/2019,17131.80857
288,2/13/2019,7295.445685
289,2/14/2019,35741.56069
290,2/15/2019,17135.206
291,2/16/2019,17644.54792
292,2/17/2019,17047.93016
293,2/18/2019,18095.73659
294,2/19/2019,21058.0147
295,2/20/2019,20268.14716
296,2/21/2019,18914.6379
297,2/22/2019,16373.20454
298,2/23/2019,13731.20833
299,2/24/2019,16899.15625
300,2/25/2019,20034.13813
301,2/26/2019,24118.22712
302,2/27/2019,17207.93176
303,2/28/2019,14448.90323
304,3/1/2019,24055.46354
305,3/2/2019,12908.43634
306,3/3/2019,23655.63667
307,3/4/2019,9994.808367
308,3/5/2019,20636.12759
309,3/6/2019,18294.7931
310,3/7/2019,13099.88713
311,3/8/2019,14882.58141
312,3/9/2019,22020.50636
313,3/10/2019,6863.079574
314,3/11/2019,19285.66074
315,3/12/2019,24435.89697
316,3/13/2019,13785.85309
317,3/14/2019,15636.6661
318,3/15/2019,15299.67742
319,3/16/2019,24785.74595
320,3/17/2019,17890.63733
321,3/18/2019,13514.8686
322,3/19/2019,16610.0117
323,3/20/2019,14718.56734
324,3/21/2019,14155.18347
325,3/22/2019,18773.31429
326,3/23/2019,22310.28
327,3/24/2019,14177.15789
328,3/25/2019,15601.7573
329,3/26/2019,22962.90104
330,3/27/2019,18099.20775
331,3/28/2019,13989.04105
332,3/29/2019,17254.60849
333,3/30/2019,15870.56577
334,3/31/2019,12650
335,4/1/2019,16736.83781
336,4/2/2019,16007.7584
337,4/3/2019,10389.17787
338,4/4/2019,26118.68421
339,4/5/2019,23569.94436
340,4/6/2019,15809.26154
341,4/7/2019,33985.55556
342,4/8/2019,17310.13953
343,4/9/2019,17006.82519
344,4/10/2019,19115.34444
345,4/11/2019,21765.94732
346,4/12/2019,20724.33333
347,4/14/2019,28906.5
348,4/15/2019,33017.75
349,4/16/2019,67006.66667
350,4/17/2019,27868.42857
351,4/18/2019,12296
352,4/19/2019,72197.16667
353,4/21/2019,-15341
354,4/22/2019,29096.16667
355,4/23/2019,22919.34783
356,4/24/2019,41220
357,4/25/2019,71105.5
358,4/26/2019,20509.75
359,4/27/2019,21870.72727
360,4/28/2019,28359
361,4/29/2019,-2292.5
362,4/30/2019,13439.125
363,5/1/2019,13749.04471
364,5/2/2019,14986.79388
365,5/3/2019,17860.0279
366,5/4/2019,23586.04588
367,5/5/2019,18553.35314
368,5/6/2019,18654.58691
369,5/7/2019,24607.29106
370,5/8/2019,51282.61781
371,5/9/2019,18862.77143
372,5/10/2019,24557.71623
373,5/11/2019,28208.55556
374,5/12/2019,21044.31429
375,5/13/2019,20649.07818
376,5/14/2019,23894.07851
377,5/15/2019,28518.95943
378,5/16/2019,13383.00684
379,5/17/2019,39972.63452
380,5/18/2019,16346.12435
381,5/19/2019,11457.26087
382,5/20/2019,15575.87516
383,5/21/2019,18708.83829
384,5/22/2019,19727.40455
385,5/23/2019,21750.41329
386,5/24/2019,19142.72493
387,5/25/2019,25109.97043
388,5/26/2019,24269.5
389,5/27/2019,20137.96776
390,5/28/2019,33655.28276
391,5/29/2019,23651.18564
392,5/30/2019,21686.17317
393,5/31/2019,30454.69767
394,6/1/2019,9252.398682
395,6/2/2019,20113.94529
396,6/3/2019,18534.03285
397,6/4/2019,21051.31
398,6/5/2019,27206.20789
399,6/6/2019,46849.71875
400,6/7/2019,30874.86796
401,6/8/2019,24229.70067
402,6/9/2019,22258.85714
403,6/10/2019,22147.44563
